Title,Attributes,Location,Date,Link,Description
Help Us Learn More About Circadian Rhythms! 5-day Research Study,"
compensation: Receive up to $1,800

employment type: part-time

internship

non-profit organization

",Boston boston/cambridge/brookline ,Dec 27,https://boston.craigslist.org/gbs/etc/d/boston-help-us-learn-more-about/7425481806.html,"

QR Code Link to This Post


The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking healthy volunteers ages 21-35 to participate in a sleep research study. You must be a non-smoker and not on any medications.

You will complete 4 screening visits and must keep a regular sleep schedule for 2 to 4 weeks. If eligible, you will live 5 consecutive days and nights at the sleep research laboratory within the hospital.

The purpose of this study is to see if the body’s internal ‘clock’ time can be estimated from a single blood sample.

Receive up to $1,800. 

For more information, call 617-525-8813,  or visit https://rally.partners.org/study/bodyclockstudy "
Come Sleep With Us! Sleep Study at BWH Needs Volunteers,"
compensation: Receive up to $6,250

employment type: part-time

",Boston boston/cambridge/brookline ,Dec 27,https://boston.craigslist.org/gbs/etc/d/boston-come-sleep-with-us-sleep-study/7425481073.html,"

QR Code Link to This Post


The Division of Sleep and Circadian Disorders at Brigham & Women’s Hospital is seeking healthy volunteers ages 20-40 to participate in a research study. You must be a non-smoker and not on any medications (other than birth control). You will complete 1 in-person and 3 remote screening visits and must keep a regular sleep schedule for 2 weeks. If eligible, you will live 33 consecutive days and nights in a private room in our clinical research center. 

We want to learn more about how insufficient sleep night after night impacts metabolism, and how exposure to artificial light at night plays a role. 

If you would like to be screened for participation, please follow the link below and fill out our pre-screening survey: 
https://redcap.partners.org/redcap/surveys/?s=ECM4EEDWLT

Receive up to $6,250. 

For more information, call 617-525-8838, e-mail us or visit https://rally.partners.org/study/alan.    "
"New Year, New Job! Starting $17/Hr., PT Flexible; No Experience","
compensation: $17 per hour to start

employment type: part-time

",Waltham metro west ,Dec 27,https://boston.craigslist.org/bmw/etc/d/waltham-new-year-new-job-starting-17-hr/7425449008.html,"

QR Code Link to This Post


APPLY NOW here: https://careers.hireology.com/seniorshelpingseniorsgreaterboston/683148/description?ref=Craigslist

Come work for the best in 2022! For the 4th year running, Seniors Helping Seniors of Greater Boston and Metrowest has been named a top workplace with the happiest employees in Massachusetts (#3 Medium Company) in The Boston Globe's Top Places to Work Survey*, and we're looking for exceptional people to join our team of personal helpers/companions! (*The Boston Globe, December 5, 2021)

NO EXPERIENCE REQUIRED...WE TRAIN!

Under our unique model of peers-helping-peers, we hire older adults to work one-on-one with elderly clients in the community, providing non-medical services that may include:
*Companionship
*Shopping/errands
*Light housekeeping
*Transportation
*Activities
*Meal prep
*and more!

We offer:
*Above-average starting wage of $17 per hour
*Paid training for newly hired employees
*Employee referral bonuses
*Flexible schedules from 12 hours up to 30+ hours per week
*Earned sick time
*Continuing education opportunities and fun networking/social events
*An interesting and diverse client base
*A friendly group of peers to work with

This opportunity is for you if you are:
*An older adult who is retired/semi-retired or laid off
*An older adult who needs part-time flexible work to supplement your income
*An older adult who enjoys engaging with people and being helpful to others
*An older adult who would like to use your skills in a different line of work
*An older adult who would like to do rewarding work with a purpose
*An older adult who is available 12-15 hours per week (or more!)

We're actively hiring older adults who are compassionate, reliable, and flexible.
Minimum requirements:
*Older adult with 45+ years of life experience
*Availability of at least 12 - 15 hours per week
*Covid-19 vaccinated
*Driver's license and insured auto (our clients are not accessible by public transportation)
*Cell phone
*Personal email account and ability to send/receive emails
*Conversational English fluency
*Weekend availability a plus (in addition to weekdays)
*Live centrally in our Metrowest service area with accessibility to multiple client locations including: Acton, Ashland, Framingham, Holliston, Hopkinton, Hudson, Lincoln, Marlborough, Maynard, Southborough, Sudbury, Wayland, Weston

Hear it straight from our employees: https://www.facebook.com/watch/?v=2928045503990460

We look forward to hearing from you!

About Us:
Seniors Helping Seniors of Greater Boston & Metrowest is a unique home care agency that provides personalized care for seniors by seniors. Focusing specifically on the importance of social-emotional care and companionship, our agency carefully matches personal helpers/companions with clients in the community to help maximize social engagement, assisting with everything from light housework and shopping to daily companionship. Today, Seniors Helping Seniors of Greater Boston and Metrowest is the leading provider of peer-to-peer companion care in Massachusetts, serving over 30 towns throughout the Greater Boston and Metrowest regions.    "
"New Year, New Job! Starting $17/Hr., PT Flexible; No Experience","
compensation: $17 per hour to start

employment type: part-time

",Waltham boston/cambridge/brookline ,Dec 27,https://boston.craigslist.org/gbs/etc/d/waltham-new-year-new-job-starting-17-hr/7425444960.html,"

QR Code Link to This Post


APPLY NOW here: https://careers.hireology.com/seniorshelpingseniorsgreaterboston/683148/description?ref=Craigslist

Come work with the best in 2022! For the 4th year running, Seniors Helping Seniors of Greater Boston and Metrowest has been named a top workplace with the happiest employees in Massachusetts (#3 Medium Company) in The Boston Globe's Top Places to Work Survey*, and we're looking for exceptional people to join our team of personal helpers/companions! (*The Boston Globe, December 5, 2021)

NO EXPERIENCE REQUIRED...WE TRAIN!

Under our unique model of peers-helping-peers, we hire older adults to work one-on-one with elderly clients in the community, providing non-medical services that may include:
*Companionship
*Shopping/errands
*Light housekeeping
*Transportation
*Activities
*Meal prep
*and more!

We offer:
*Above-average starting wage of $17 per hour
*Paid training for newly hired employees
*Employee referral bonuses
*Flexible schedules from 12 hours up to 30+ hours per week
*Earned sick time
*Continuing education opportunities and fun networking/social events
*An interesting and diverse client base
*A friendly group of peers to work with

This opportunity is for you if you are:
*An older adult who is retired/semi-retired or laid off
*An older adult who needs part-time flexible work to supplement your income
*An older adult who enjoys engaging with people and being helpful to others
*An older adult who would like to use your skills in a different line of work
*An older adult who would like to do rewarding work with a purpose
*An older adult who is available 12-15 hours per week ( or more!)

We're actively hiring older adults who are compassionate, reliable, and flexible.
Minimum requirements:
*Older adult with 45+ years of life experience
*Availability of at least 12 - 15 hours per week
*Covid-19 vaccinated
*Driver's license and insured auto (our clients are not accessible by public transportation)
*Cell phone
*Personal email account and ability to send/receive emails
*Conversational English fluency
*Weekend availability a plus (in addition to weekdays)
*Live centrally in our Greater Boston service area with accessibility to multiple client locations including: Arlington, Boston, Brighton, Brookline, Cambridge, Jamaica Plain, Medford, Needham, Newton, Waltham, Watertown, West Roxbury, Weston

Hear it straight from our employees: https://www.facebook.com/watch/?v=2928045503990460

We look forward to hearing from you!

About Us:
Seniors Helping Seniors of Greater Boston & Metrowest is a unique home care agency that provides personalized care for seniors by seniors. Focusing specifically on the importance of social-emotional care and companionship, our agency carefully matches personal helpers/companions with clients in the community to help maximize social engagement, assisting with everything from light housework and shopping to daily companionship. Today, Seniors Helping Seniors of Greater Boston and Metrowest is the leading provider of peer-to-peer companion care in Massachusetts, serving over 30 towns throughout the Greater Boston and Metrowest regions.    "
Project Coordinator - Center for Engineering Education and Outreach,"
compensation: DOE

", northwest/merrimack ,Dec 27,https://boston.craigslist.org/nwb/etc/d/medford-project-coordinator-center-for/7425413138.html,"

QR Code Link to This Post


Tufts UniversityEqual Opportunity Employer –minority/females/veterans/disability/sexual orientation/gender identity.Job DescriptionProject Coordinator - Center for Engineering Education and Outreach - 21002041DescriptionThis is a limited term position for 1 year. This is a grant funded position and is not eligible for severance pay.Under general supervision, provides advanced support and coordination for a university project.Essential Functions:

Produces a variety of project documents, reports, or literature.
Responds to a variety of inquiries related to the project, responding to a broad range of issues and providing relevant information to faculty, staff, students and other constituents.
Organizes and maintains project files and databases. Updates data and tracks project information.
Monitors budgets, executes financial transactions and prepares reports.
Coordinates project marketing and promotional efforts. Arranges logistics for meetings, special events, assisting with planning, determining venue and coordinating production of promotional and presentation materials.
Conducts internet research and gather information and data draft reports on results
May provide guidance and work direction to student and temporary workers and assist in training other support staff.

QualificationsBasic Requirements:

Associate Degree
3-5 years of related exprience

  An employee in this position must complete all appropriate background checks at the time of hire, promotion, or transfer. Equal Opportunity Employer - minority/females/veterans/disability/sexual orientation/gender identity.Primary Location: United States-Massachusetts-Medford/SomervilleJob:  ResearchOrganization:  CEEOEmployee Status:  Limited AppointmentSchedule:  Full-timeJob Posting:  Nov 19, 2021, 1:30:53 PMApply HerePI158645871 "
Encuesta por teléfono móvil en idioma español: 60 min | $100,"
compensation: $100 por 60 minutos

employment type: contract

", metro west ,Dec 27,https://boston.craigslist.org/bmw/etc/d/framingham-encuesta-por-telfono-mvil-en/7425369358.html,"

QR Code Link to This Post


¡Bienvenido!

Contact Design (dba SurveyFeeds) es una organización de investigación global que conecta a los participantes cualificados con empresas de tecnología para ayudar a mejorar la usabilidad y el diseño de sus productos.

Estamos llevando a cabo un estudio de investigación con propietarios de teléfonos inteligentes para comprender mejor las opiniones de personas como usted cuando se trata de buscar atención al cliente para preguntas sobre su teléfono celular.

Esto es lo que puede esperar:

QUÉ: Una encuesta de 60 minutos
CUÁNDO: Enero 5 o 6 2022
DÓNDE: Desde su computadora portátil o de escritorio
COMPENSACIÓN: $100 (usamos Zelle, PayPal, Venmo, Google Pay, Amazon E-Gift o un cheque)

Si está interesado en participar, completa este formulario de solicitud: https://www.surveymonkey.com/r/7T6S978

Nos pondremos en contacto contigo en breve si cualificas.

NOTAS IMPORTANTES
- Tenga la seguridad de que este estudio es solo para fines de investigación y en ningún momento se le solicitará. Todo lo que discuta en esta investigación será estrictamente confidencial.

¡Gracias!
Contact Design, Inc. | dba SurveyFeeds
yourcontacthub.com | surveyfeeds.com

A+, Better-Business-Bureau accredited company    "
"Women with Jewish Lineage-Earn $10,000 with the Gift Of Egg Donation","
compensation: Starts at $10,000 +all expenses paid

employment type: employee's choice

", boston/cambridge/brookline ,Dec 26,https://boston.craigslist.org/gbs/etc/d/boston-women-with-jewish-lineage-earn/7425089272.html,"

QR Code Link to This Post



A Jewish Blessing, LLC* was founded as a compassionate response to infertile Jewish families worldwide who desperately need help finding qualified and extraordinary young Jewish women who have a generous spirit and the desire to give them the gift of life through Egg Donation.

Participation as an egg donor involves:
· Time
· Reliability
· Honesty
· Dedication

Benefits of Participating as an Egg Donor Include:
· First Time Donors Earn $10,000/Repeat & Proven Successful Donors Can Earn $11,000+ per donation
· Travel Opportunities or Stay Local- All Expenses Paid
· Genetic Carrier Screening Testing Results
· Flexibility to Continue Working or Attending School While Helping a Family in Need
· Receive Valuable Information About Your Own Fertility
Most Importantly, the deep satisfaction and joy experienced by knowing that you have altered the lives of others in such a meaningful way.

Initial Egg Donor Qualifications are:
· Be a female between the age of 20 and 32
· Have Jewish ethnic heritage on Mother’s and/or Father’s side of their family
· Body Mass Index (BMI) must be less than 30
· Be in good health and follow a healthy lifestyle
· Be a non-smoker


TO START THE PRE-QUALIFYING APPLICATION, GO TO: https://intakeq.com/new/pfCiNu/9BKKa8
or contact Sivonne, our Donor Intake Coordinator, at eggdonor@ajewishblessing.com


* A Jewish Blessing, LLC (AJB) is a nurse-run organization and is a member of SART/ASRM (Society for Assisted Reproductive Technology/American Society for Reproductive Medicine), following their ethical guidelines for egg donation. To learn more about AJB, please visit our website at: http://www.ajewishblessing.com/donors.html

We thank you from the bottom of our hearts for passing the word forward to friends and family who may have a desire to help. Wishing you and your loved ones a very happy and meaningful 2022!!

keywords: egg donor, egg donation, donor, IVF, fertility, infertility, third party reproduction, flexible    "
Dog Daycare Attendant,"
compensation: Commensurate with experience

employment type: part-time

",Needham metro west ,Dec 26,https://boston.craigslist.org/bmw/etc/d/needham-dog-daycare-attendant/7425072802.html,"

QR Code Link to This Post


Needham home-based doggie day care seeks individual to work part-time.
Hours: 9:00-12:30, M-Th 
If you love dogs and seek part-time work this opportunity is for you!


"
"Surrogate Mother Needed! Help a Family Grow and Earn up to $57,000!","
compensation: Between $52,000 and $57,000 Base Fee plus all expenses paid and additional paid allowances

employment type: contract

","Boston, Ma boston/cambridge/brookline ",Dec 24,https://boston.craigslist.org/gbs/etc/d/surrogate-mother-needed-help-family/7424669106.html,"

QR Code Link to This Post






""Click Here to Learn More""




Why Become a Surrogate with The Center For Surrogacy and Egg Donation?

Have the chance to give the most precious of gifts to a loving couple in need: the gift of life.
Earn a Base Fee of $52,000 for a first time surrogacy and $57,000 for experienced surrogates, plus all expenses paid.
In addition to your Base Fee and Expenses being paid, you will also earn $3,300 in totally monthly allowances to use as you see fit and $500 to put towards maternity clothing
Enjoy the financial freedom of being able to pay off student loans, make a down payment on a home, or create a college fund for your own children.
Experience the CSED difference by working with a passionate and dedicated staff, who will guide you every step of the way, allowing surrogacy to fit into the busiest of schedules.
Retain 100% of your fee, as all expenses will be paid through our agency.



About The Center For Surrogacy and Egg Donation, Inc.

CSEDInc is one of the country's oldest and most well-respected Egg Donation and Surrogacy agencies. We offer a superior level of care and attention to our intended parents and Surrogate Mothers (Gestational Carriers). For more detailed information on our gestational carrier program, please visit our website by clicking  ""Click Here to Learn More"", or feel free to call us at (508) 460-0400. 




Requirements for Potential Surrogates:

Female
Between the ages of 21 and 40 
In Good Physical Health, Who Has Delivered,  With a good Pregnancy Health History.
Be Reliable and Committed to the Surrogacy Process
Non-Smoker
Have Strong Support From Friends and Family



""Click Here to Learn More""



The Center For Surrogacy and Egg Donation was founded by a previous intended parent, whose family needed the assistance of a surrogate mother like you to make the dream of having a child come true. Robert Nichols, the President of CSED, has had the good fortune of being able to have three children though the kindness and compassion a Surrogate Mother. This experience prompted Robert to start an agency that would always put the interests of the Surrogates and Parents above all else. Our commitment to this ideal is apparent at every step of this process. If you are interested in becoming a Surrogate Mother, please research as much as you can, contact fertility clinics in the area, and ask them to recommend the best agency in New England; we are confident that agency will be us.


            

Testimonials
            
          

""This was such a wonderful experience. I would love to do it again. I wanted to thank
            you for everything."" 
- Gestational Carrier J.C. 

""They really are the best and I'm soooo glad I did this, it has been a journey that I couldn't and wouldn't take back for anything!""
- Gestational Carrier T.G. 
         


















 "
"Become a Donor Today, Help Others While Making Extra Cash","
compensation: Up to $1,000 per month

employment type: part-time

",Cambridge boston/cambridge/brookline ,Dec 24,https://boston.craigslist.org/gbs/etc/d/cambridge-become-donor-today-help/7424543201.html,"

QR Code Link to This Post


The GoodNature™ Program is offering an amazing opportunity for healthy people who want to potentially make a difference in the lives of patients with serious diseases! This unique program is striving to do medical good – and can put some extra spending money in your pocket. If you are a healthy adult 18 to 50 years old, you may be eligible to earn up to $1,000 a month in compensation. Not only that, but your participation could also help lead to future developments in medicine and directly serve a patient population in need.

The GoodNature™ Program is recruiting healthy individuals who are of a normal weight, don’t smoke, and have no history of gastrointestinal disease or alcohol or drug abuse. You must be available to travel to our collection site in Cambridge to donate your poop three to seven times a week. People cannot participate while they’re pregnant, though we encourage them to keep us in mind for the future.

Get started with a few simple questions on our website: https://www.takeaseat.com/are-you-eligible?utm_source=Craigslist&utm_medium=Cambridge

Additional FAQ’s can be found here: https://www.takeaseat.com/faq "
Summer 2022 Intern,"
compensation: DOE

employment type: full-time

internship

","Cambridge, MA boston/cambridge/brookline ",Dec 22,https://boston.craigslist.org/gbs/etc/d/cambridge-summer-2022-intern/7423902926.html,"

QR Code Link to This Post


As part of firm-wide efforts to increase the diversity of economic and environmental consultants, IEc is excited to offer two paid summer Intern positions in 2022. Applicants should be entering their junior or senior undergraduate year and self-identify as members of a group historically underrepresented in the environmental and economic professions, including, but not limited to Black, African American, Hispanic, Latinx, Asian American, Pacific Islander, and North American Indigenous groups. 

Our summer Interns will have the opportunity to apply their academic skills to current, real-world IEc projects through a comprehensive, hands-on learning experience. Working with other IEc staff, summer Interns will assist with data compilation and evaluation, perform quantitative analyses, and communicate results through written products and oral presentations. Required skills include paying attention to detail, asking questions, identifying potential solutions when challenges arise, and recommending next steps to move a project forward. 
Summer Interns must demonstrate academic experience in at least one of a wide range of disciplines relevant to our work including but not limited to economics, applied mathematics, public policy, engineering, finance, chemistry, biology, ecology, and other environmental sciences.

Position Type: Full Time, Temporary
Position Start Date: Summer 2022
Position Location: Cambridge, MA – relocation assistance available
Required Qualifications: Coursework towards a bachelor’s or equivalent international degree in a relevant field (see above). 

To apply, visit https://www.indecon.com/open-positions

When applying, you must upload the following documents:
-Cover Letter
-Resume
-Undergraduate Transcript
-Writing Sample – this should be authored solely by you, be no more than 5 pages in length (can be an excerpt from a longer paper) and focus on technical information/analysis.

If the recruiting committee is interested in pursuing your application, we will contact you directly after January 17 to set up a screening interview.   

EOE AA M/F/Veterans/Disability
"
Do you experience extreme sleepiness while working early morning shift,"
compensation: up to $4750

employment type: full-time

non-profit organization

",boston south shore ,Dec 22,https://boston.craigslist.org/sob/etc/d/boston-do-you-experience-extreme/7423888602.html,"

QR Code Link to This Post


The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking individuals who:
• are 18 to 64 years old
• start work between 3AM-6AM at least 3 days per week
• are very sleepy during the daytime
Individuals who meet these criteria may be eligible for a sleep research study. The purpose of this study is to see if a medication can help with excessive daytime sleepiness in early morning shift workers. This study will ask participants to make 6 study visits over the course of 6 weeks.

Receive up to $4750

For more information, call 617-525-8657 or email EDSresearchstudy@partners.org 

Or fill out the following survey https://redcap.link/DAWNstudy
"
$350 VWGoA Recreational Habits Study (2hrs Remote/Online Session),"
compensation: $350 (Amazon gift card)

employment type: contract

", boston/cambridge/brookline ,Dec 21,https://boston.craigslist.org/gbs/etc/d/redwood-city-350-vwgoa-recreational/7423721837.html,"

QR Code Link to This Post


Here at the Innovation Center California of the Volkswagen Group of America, we are interested in learning about your recreational (e.g., RV-ing, camping, road trips, etc.) habits or the lack there of. We want to get feedback from a diverse group of people, so there are no prerequisites to participate.

The study will be Two Hours long and held remotely, via Microsoft Teams (free to use via app or browser), with Volkswagen Group of America consultants at our Belmont, CA office. Full study completion is required in order to receive payment.

Dates: December 2021

Compensation: If selected, you must complete the entire study session that takes place on the appointment day. Compensation is provided in the form of a $350 Amazon gift card (only one study session allowed per person).

If interested, please click on the link below to complete a detailed Recruitment Survey, with an estimated 20 minute completion time. Note that the recruitment survey is strictly voluntary, and No Compensation is given for its completion, but survey completion is necessary for study eligibility. All completed recruiting surveys, with the appropriate contact information (e.g., email and phone number) provided at the END, will be carefully reviewed for participant selection for a follow-up appointment. If chosen, you must be in full capacity to complete the tasks on the day of your appointment. Only after completion of the follow-up appointment will compensation be provided. The follow-up appointment is a study session that takes about Two Hours to complete. If selected, you will be contacted by phone or email with further instructions about this future paid study.

For more information about our research lab, you may visit us at https://vwiecc.com.
Any questions or concerns can be directed to: vwerlstudies@vw.com

Link to the voluntary Recruiting Survey is provided below. All identifiable information collected will be kept strictly confidential.

https://www.surveymonkey.com/r/Adventure_Habits

Thank you for your time!    "
